date,county,city,pm25_ugm3,ozone_ppm,aqi,aqi_category,year,month
2020-03-02,Alameda,Berkeley,13.4,0.048,77,Moderate,2020,3
2020-03-04,Fresno,Fresno,52.7,0.05,179,Unhealthy,2020,3
2020-03-06,San Diego,San Diego,34.8,0.049,113,Unhealthy for Sensitive Groups,2020,3
2020-03-07,Santa Clara,Santa Clara,16.6,0.031,93,Moderate,2020,3
2020-03-08,Riverside,Riverside,16.3,0.043,73,Moderate,2020,3
2020-03-09,Fresno,Fresno,44.8,0.038,146,Unhealthy for Sensitive Groups,2020,3
2020-03-09,Kern,Ridgecrest,54.0,0.04,169,Unhealthy,2020,3
2020-03-09,San Francisco,San Francisco,25.7,0.051,72,Moderate,2020,3
2020-03-17,Kern,Ridgecrest,16.1,0.034,128,Unhealthy for Sensitive Groups,2020,3
2020-03-18,Santa Clara,San Jose,33.1,0.046,79,Moderate,2020,3
2020-03-18,Monterey,Monterey,39.2,0.029,109,Unhealthy for Sensitive Groups,2020,3
2020-03-19,Kern,Ridgecrest,13.1,0.035,104,Unhealthy for Sensitive Groups,2020,3
2020-03-19,San Francisco,Daly City,33.7,0.032,101,Unhealthy for Sensitive Groups,2020,3
2020-03-20,Kern,Ridgecrest,26.6,0.051,119,Unhealthy for Sensitive Groups,2020,3
2020-03-21,San Bernardino,San Bernardino,19.6,0.035,122,Unhealthy for Sensitive Groups,2020,3
2020-03-21,Fresno,Fresno,33.8,0.052,145,Unhealthy for Sensitive Groups,2020,3
2020-03-22,Kern,Ridgecrest,49.9,0.047,163,Unhealthy,2020,3
2020-03-24,Shasta,Redding,28.8,0.055,108,Unhealthy for Sensitive Groups,2020,3
2020-03-29,Los Angeles,Los Angeles,14.0,0.041,94,Moderate,2020,3
2020-03-30,San Bernardino,San Bernardino,14.0,0.035,102,Unhealthy for Sensitive Groups,2020,3
2020-04-01,Sacramento,Elk Grove,51.4,0.028,130,Unhealthy for Sensitive Groups,2020,4
2020-04-02,Marin,Mill Valley,11.9,0.051,66,Moderate,2020,4
2020-04-03,Riverside,Palm Springs,18.4,0.054,60,Moderate,2020,4
2020-04-03,San Diego,Chula Vista,15.6,0.039,57,Moderate,2020,4
2020-04-05,Riverside,Palm Springs,51.4,0.044,124,Unhealthy for Sensitive Groups,2020,4
2020-04-05,San Francisco,Daly City,51.6,0.049,144,Unhealthy for Sensitive Groups,2020,4
2020-04-07,San Diego,Chula Vista,16.5,0.02,74,Moderate,2020,4
2020-04-09,Sacramento,Elk Grove,52.0,0.031,126,Unhealthy for Sensitive Groups,2020,4
2020-04-10,San Bernardino,Ontario,25.2,0.041,106,Unhealthy for Sensitive Groups,2020,4
2020-04-10,Marin,San Rafael,16.7,0.022,77,Moderate,2020,4
2020-04-10,Alameda,Oakland,38.5,0.046,114,Unhealthy for Sensitive Groups,2020,4
2020-04-11,San Diego,San Diego,45.7,0.037,115,Unhealthy for Sensitive Groups,2020,4
2020-04-12,Fresno,Clovis,12.7,0.026,86,Moderate,2020,4
2020-04-13,Sacramento,Sacramento,21.6,0.033,101,Unhealthy for Sensitive Groups,2020,4
2020-04-13,Los Angeles,Long Beach,51.1,0.045,158,Unhealthy,2020,4
2020-04-14,Fresno,Clovis,23.7,0.024,127,Unhealthy for Sensitive Groups,2020,4
2020-04-16,Santa Clara,San Jose,17.5,0.046,93,Moderate,2020,4
2020-04-18,Alameda,Oakland,20.8,0.035,83,Moderate,2020,4
2020-04-18,Napa,Napa,16.9,0.022,66,Moderate,2020,4
2020-04-19,San Bernardino,Ontario,12.6,0.028,87,Moderate,2020,4
2020-04-20,Fresno,Clovis,48.9,0.025,150,Unhealthy for Sensitive Groups,2020,4
2020-04-21,Riverside,Palm Springs,16.8,0.033,86,Moderate,2020,4
2020-04-24,San Francisco,San Francisco,20.5,0.034,94,Moderate,2020,4
2020-04-26,San Bernardino,San Bernardino,53.2,0.023,155,Unhealthy,2020,4
2020-04-27,San Francisco,Daly City,25.3,0.02,87,Moderate,2020,4
2020-05-03,Santa Clara,Sunnyvale,20.1,0.048,71,Moderate,2020,5
2020-05-03,San Francisco,Daly City,18.0,0.043,86,Moderate,2020,5
2020-05-06,San Francisco,San Francisco,47.0,0.054,108,Unhealthy for Sensitive Groups,2020,5
2020-05-06,Napa,Napa,51.2,0.035,125,Unhealthy for Sensitive Groups,2020,5
2020-05-07,Marin,Mill Valley,25.4,0.039,71,Moderate,2020,5
2020-05-08,Fresno,Fresno,9.0,0.048,111,Unhealthy for Sensitive Groups,2020,5
2020-05-09,Napa,Napa,45.8,0.035,123,Unhealthy for Sensitive Groups,2020,5
2020-05-09,Fresno,Fresno,25.5,0.036,135,Unhealthy for Sensitive Groups,2020,5
2020-05-10,Napa,Napa,32.4,0.04,85,Moderate,2020,5
2020-05-12,San Francisco,San Francisco,25.1,0.027,79,Moderate,2020,5
2020-05-12,Riverside,Riverside,48.9,0.022,115,Unhealthy for Sensitive Groups,2020,5
2020-05-13,Monterey,Monterey,35.6,0.046,91,Moderate,2020,5
2020-05-14,Kern,Ridgecrest,12.8,0.022,87,Moderate,2020,5
2020-05-15,Napa,Napa,16.3,0.053,82,Moderate,2020,5
2020-05-15,Riverside,Palm Springs,24.0,0.048,103,Unhealthy for Sensitive Groups,2020,5
2020-05-15,San Francisco,Daly City,23.5,0.023,86,Moderate,2020,5
2020-05-17,San Diego,San Diego,12.7,0.021,87,Moderate,2020,5
2020-05-17,Alameda,Oakland,49.6,0.034,142,Unhealthy for Sensitive Groups,2020,5
2020-05-18,Los Angeles,Pasadena,8.6,0.028,80,Moderate,2020,5
2020-05-18,Marin,Mill Valley,23.7,0.041,102,Unhealthy for Sensitive Groups,2020,5
2020-05-20,Monterey,Monterey,32.9,0.02,89,Moderate,2020,5
2020-05-21,Shasta,Redding,33.0,0.036,95,Moderate,2020,5
2020-05-22,Fresno,Clovis,36.1,0.044,157,Unhealthy,2020,5
2020-05-22,Monterey,Monterey,14.7,0.035,81,Moderate,2020,5
2020-05-24,San Bernardino,San Bernardino,37.6,0.029,161,Unhealthy,2020,5
2020-05-25,Sonoma,Petaluma,40.3,0.052,130,Unhealthy for Sensitive Groups,2020,5
2020-05-26,Sacramento,Sacramento,38.5,0.025,118,Unhealthy for Sensitive Groups,2020,5
2020-05-28,Marin,Mill Valley,25.6,0.053,93,Moderate,2020,5
2020-05-29,Fresno,Clovis,40.4,0.026,151,Unhealthy,2020,5
2020-05-30,Los Angeles,Los Angeles,10.6,0.048,115,Unhealthy for Sensitive Groups,2020,5
2020-05-31,Santa Clara,Sunnyvale,35.1,0.044,91,Moderate,2020,5
2020-05-31,Alameda,Oakland,24.8,0.039,76,Moderate,2020,5
2020-06-01,Sonoma,Petaluma,32.5,0.05,99,Moderate,2020,6
2020-06-05,Fresno,Clovis,23.5,0.046,105,Unhealthy for Sensitive Groups,2020,6
2020-06-09,San Diego,San Diego,27.4,0.07,77,Moderate,2020,6
2020-06-10,Santa Clara,San Jose,18.8,0.08,86,Moderate,2020,6
2020-06-12,Fresno,Clovis,33.5,0.058,139,Unhealthy for Sensitive Groups,2020,6
2020-06-16,San Diego,Chula Vista,31.4,0.08,91,Moderate,2020,6
2020-06-18,Riverside,Riverside,22.0,0.08,77,Moderate,2020,6
2020-06-18,Sacramento,Elk Grove,19.3,0.077,93,Moderate,2020,6
2020-06-19,Santa Clara,Sunnyvale,33.3,0.074,88,Moderate,2020,6
2020-06-20,Kern,Bakersfield,24.3,0.047,130,Unhealthy for Sensitive Groups,2020,6
2020-06-20,Sacramento,Elk Grove,14.3,0.066,64,Moderate,2020,6
2020-06-22,Fresno,Fresno,34.4,0.065,139,Unhealthy for Sensitive Groups,2020,6
2020-06-23,Sacramento,Elk Grove,34.8,0.046,108,Unhealthy for Sensitive Groups,2020,6
2020-06-23,Santa Clara,Sunnyvale,17.0,0.062,63,Moderate,2020,6
2020-06-25,Marin,San Rafael,14.0,0.063,81,Moderate,2020,6
2020-06-27,San Diego,Chula Vista,7.4,0.085,59,Moderate,2020,6
2020-06-28,Sacramento,Elk Grove,29.3,0.088,93,Moderate,2020,6
2020-06-28,Fresno,Clovis,6.5,0.061,85,Moderate,2020,6
2020-06-29,Riverside,Palm Springs,6.9,0.051,45,Good,2020,6
2020-06-30,San Francisco,Daly City,5.2,0.072,54,Moderate,2020,6
2020-07-01,Sacramento,Elk Grove,29.0,0.073,99,Moderate,2020,7
2020-07-01,San Francisco,San Francisco,15.2,0.07,64,Moderate,2020,7
2020-07-02,San Francisco,San Francisco,24.5,0.071,92,Moderate,2020,7
2020-07-03,Marin,Mill Valley,28.7,0.041,107,Unhealthy for Sensitive Groups,2020,7
2020-07-03,Kern,Ridgecrest,27.7,0.081,145,Unhealthy for Sensitive Groups,2020,7
2020-07-05,San Bernardino,Ontario,27.7,0.083,115,Unhealthy for Sensitive Groups,2020,7
2020-07-05,Santa Clara,Santa Clara,26.1,0.04,99,Moderate,2020,7
2020-07-05,Sonoma,Santa Rosa,8.4,0.062,65,Moderate,2020,7
2020-07-07,Riverside,Riverside,15.5,0.068,71,Moderate,2020,7
2020-07-08,Riverside,Palm Springs,14.8,0.07,64,Moderate,2020,7
2020-07-08,Sacramento,Sacramento,31.8,0.061,96,Moderate,2020,7
2020-07-09,Sonoma,Petaluma,6.3,0.052,72,Moderate,2020,7
2020-07-09,Fresno,Fresno,20.4,0.056,116,Unhealthy for Sensitive Groups,2020,7
2020-07-09,Monterey,Salinas,10.1,0.074,56,Moderate,2020,7
2020-07-10,Monterey,Monterey,17.2,0.059,85,Moderate,2020,7
2020-07-10,San Francisco,Daly City,11.1,0.054,56,Moderate,2020,7
2020-07-12,San Francisco,Daly City,21.7,0.059,78,Moderate,2020,7
2020-07-12,Sonoma,Santa Rosa,18.9,0.08,66,Moderate,2020,7
2020-07-12,Shasta,Redding,6.1,0.058,47,Good,2020,7
2020-07-13,Sacramento,Elk Grove,23.0,0.089,88,Moderate,2020,7
2020-07-14,Fresno,Fresno,21.7,0.043,112,Unhealthy for Sensitive Groups,2020,7
2020-07-15,Monterey,Salinas,21.0,0.058,70,Moderate,2020,7
2020-07-17,Napa,Napa,11.3,0.08,70,Moderate,2020,7
2020-07-18,Marin,Mill Valley,18.7,0.074,87,Moderate,2020,7
2020-07-18,Alameda,Berkeley,17.8,0.09,82,Moderate,2020,7
2020-07-18,Monterey,Salinas,29.1,0.047,92,Moderate,2020,7
2020-07-21,Los Angeles,Long Beach,25.7,0.043,119,Unhealthy for Sensitive Groups,2020,7
2020-07-22,San Bernardino,Ontario,28.8,0.046,143,Unhealthy for Sensitive Groups,2020,7
2020-07-22,Fresno,Fresno,14.8,0.076,121,Unhealthy for Sensitive Groups,2020,7
2020-07-23,Marin,Mill Valley,20.8,0.063,70,Moderate,2020,7
2020-07-24,Kern,Ridgecrest,30.0,0.055,133,Unhealthy for Sensitive Groups,2020,7
2020-07-24,Sonoma,Petaluma,25.4,0.047,103,Unhealthy for Sensitive Groups,2020,7
2020-07-24,Shasta,Redding,26.7,0.047,70,Moderate,2020,7
2020-07-26,San Bernardino,San Bernardino,26.8,0.067,117,Unhealthy for Sensitive Groups,2020,7
2020-07-27,Sonoma,Santa Rosa,25.9,0.055,106,Unhealthy for Sensitive Groups,2020,7
2020-07-28,Alameda,Berkeley,9.0,0.049,71,Moderate,2020,7
2020-07-28,Alameda,Oakland,11.5,0.065,59,Moderate,2020,7
2020-07-29,Los Angeles,Los Angeles,21.3,0.045,122,Unhealthy for Sensitive Groups,2020,7
2020-07-30,San Bernardino,Ontario,5.8,0.058,78,Moderate,2020,7
2020-07-31,Sacramento,Sacramento,16.6,0.07,74,Moderate,2020,7
2020-07-31,Napa,Napa,12.9,0.048,73,Moderate,2020,7
2020-08-04,Kern,Bakersfield,21.9,0.045,115,Unhealthy for Sensitive Groups,2020,8
2020-08-04,Santa Clara,Santa Clara,28.0,0.069,101,Unhealthy for Sensitive Groups,2020,8
2020-08-04,Shasta,Redding,16.5,0.044,79,Moderate,2020,8
2020-08-04,Marin,San Rafael,28.4,0.07,78,Moderate,2020,8
2020-08-05,Alameda,Fremont,13.7,0.074,88,Moderate,2020,8
2020-08-06,Alameda,Berkeley,7.7,0.087,69,Moderate,2020,8
2020-08-06,Santa Clara,Sunnyvale,9.6,0.073,60,Moderate,2020,8
2020-08-06,San Bernardino,San Bernardino,16.9,0.067,119,Unhealthy for Sensitive Groups,2020,8
2020-08-07,Sacramento,Elk Grove,12.6,0.05,55,Moderate,2020,8
2020-08-08,Sacramento,Sacramento,28.8,0.046,95,Moderate,2020,8
2020-08-09,Los Angeles,Pasadena,24.6,0.041,108,Unhealthy for Sensitive Groups,2020,8
2020-08-10,Sacramento,Elk Grove,9.3,0.078,56,Moderate,2020,8
2020-08-10,San Bernardino,Ontario,34.7,0.073,145,Unhealthy for Sensitive Groups,2020,8
2020-08-10,San Diego,Chula Vista,8.1,0.058,63,Moderate,2020,8
2020-08-11,Kern,Bakersfield,28.1,0.073,129,Unhealthy for Sensitive Groups,2020,8
2020-08-11,Kern,Bakersfield,22.1,0.089,131,Unhealthy for Sensitive Groups,2020,8
2020-08-15,Sonoma,Petaluma,28.3,0.052,79,Moderate,2020,8
2020-08-15,Monterey,Monterey,18.8,0.07,64,Moderate,2020,8
2020-08-17,San Bernardino,San Bernardino,7.3,0.084,84,Moderate,2020,8
2020-08-18,Riverside,Palm Springs,12.2,0.072,52,Moderate,2020,8
2020-08-18,San Bernardino,Ontario,17.4,0.047,128,Unhealthy for Sensitive Groups,2020,8
2020-08-18,Monterey,Monterey,25.2,0.061,89,Moderate,2020,8
2020-08-18,Sacramento,Sacramento,27.2,0.052,109,Unhealthy for Sensitive Groups,2020,8
2020-08-18,Los Angeles,Los Angeles,28.9,0.074,138,Unhealthy for Sensitive Groups,2020,8
2020-08-18,Alameda,Fremont,26.9,0.085,78,Moderate,2020,8
2020-08-19,Riverside,Palm Springs,31.6,0.062,81,Moderate,2020,8
2020-08-19,Alameda,Fremont,14.5,0.061,66,Moderate,2020,8
2020-08-19,Marin,San Rafael,22.3,0.088,80,Moderate,2020,8
2020-08-21,San Diego,Chula Vista,12.9,0.083,82,Moderate,2020,8
2020-08-21,San Francisco,Daly City,28.5,0.065,110,Unhealthy for Sensitive Groups,2020,8
2020-08-21,Sonoma,Petaluma,7.9,0.073,41,Good,2020,8
2020-08-23,San Diego,Chula Vista,32.0,0.041,86,Moderate,2020,8
2020-08-23,San Francisco,San Francisco,6.6,0.042,56,Moderate,2020,8
2020-08-24,Alameda,Berkeley,16.5,0.063,73,Moderate,2020,8
2020-08-25,Fresno,Clovis,7.9,0.084,84,Moderate,2020,8
2020-08-25,Santa Clara,San Jose,29.9,0.077,96,Moderate,2020,8
2020-08-25,San Francisco,Daly City,18.6,0.07,76,Moderate,2020,8
2020-08-26,Santa Clara,San Jose,10.0,0.048,73,Moderate,2020,8
2020-08-27,Sacramento,Sacramento,6.2,0.056,47,Good,2020,8
2020-08-27,Sacramento,Elk Grove,14.4,0.089,82,Moderate,2020,8
2020-08-27,Shasta,Redding,19.8,0.087,81,Moderate,2020,8
2020-08-28,Monterey,Monterey,32.0,0.088,78,Moderate,2020,8
2020-08-30,Monterey,Salinas,10.4,0.067,78,Moderate,2020,8
2020-08-30,San Diego,San Diego,5.7,0.071,45,Good,2020,8
2020-08-31,San Bernardino,Ontario,23.0,0.06,106,Unhealthy for Sensitive Groups,2020,8
2020-08-31,San Diego,San Diego,12.2,0.064,86,Moderate,2020,8
2020-09-01,Monterey,Monterey,5.4,0.047,38,Good,2020,9
2020-09-01,San Bernardino,San Bernardino,9.3,0.06,115,Unhealthy for Sensitive Groups,2020,9
2020-09-02,Fresno,Clovis,5.2,0.077,83,Moderate,2020,9
2020-09-02,Napa,Napa,32.6,0.074,109,Unhealthy for Sensitive Groups,2020,9
2020-09-03,San Bernardino,San Bernardino,33.5,0.062,125,Unhealthy for Sensitive Groups,2020,9
2020-09-03,Fresno,Fresno,14.0,0.08,105,Unhealthy for Sensitive Groups,2020,9
2020-09-03,Shasta,Redding,24.7,0.067,68,Moderate,2020,9
2020-09-03,Sacramento,Sacramento,9.0,0.042,55,Moderate,2020,9
2020-09-05,San Bernardino,Ontario,32.6,0.06,144,Unhealthy for Sensitive Groups,2020,9
2020-09-06,Marin,San Rafael,34.2,0.076,105,Unhealthy for Sensitive Groups,2020,9
2020-09-07,Alameda,Fremont,17.3,0.084,82,Moderate,2020,9
2020-09-08,Kern,Ridgecrest,12.0,0.061,114,Unhealthy for Sensitive Groups,2020,9
2020-09-09,Kern,Bakersfield,16.0,0.073,91,Moderate,2020,9
2020-09-10,San Francisco,Daly City,19.0,0.066,89,Moderate,2020,9
2020-09-10,Monterey,Monterey,34.2,0.064,104,Unhealthy for Sensitive Groups,2020,9
2020-09-11,Marin,Mill Valley,24.6,0.085,92,Moderate,2020,9
2020-09-11,Shasta,Redding,16.5,0.068,66,Moderate,2020,9
2020-09-11,Santa Clara,San Jose,18.6,0.07,94,Moderate,2020,9
2020-09-13,San Bernardino,Ontario,23.8,0.071,105,Unhealthy for Sensitive Groups,2020,9
2020-09-13,San Francisco,Daly City,27.3,0.06,73,Moderate,2020,9
2020-09-15,San Diego,San Diego,6.3,0.044,66,Moderate,2020,9
2020-09-15,Riverside,Riverside,14.6,0.047,88,Moderate,2020,9
2020-09-16,Sacramento,Elk Grove,27.5,0.084,78,Moderate,2020,9
2020-09-17,Fresno,Clovis,10.3,0.04,116,Unhealthy for Sensitive Groups,2020,9
2020-09-18,Marin,Mill Valley,34.4,0.067,106,Unhealthy for Sensitive Groups,2020,9
2020-09-18,Fresno,Fresno,25.5,0.055,118,Unhealthy for Sensitive Groups,2020,9
2020-09-18,Marin,San Rafael,19.9,0.044,94,Moderate,2020,9
2020-09-20,Napa,Napa,33.2,0.06,90,Moderate,2020,9
2020-09-21,Fresno,Clovis,22.9,0.087,118,Unhealthy for Sensitive Groups,2020,9
2020-09-23,Marin,San Rafael,11.6,0.058,75,Moderate,2020,9
2020-09-24,San Francisco,San Francisco,23.9,0.07,67,Moderate,2020,9
2020-09-25,Fresno,Clovis,25.2,0.055,122,Unhealthy for Sensitive Groups,2020,9
2020-09-25,Shasta,Redding,31.5,0.076,101,Unhealthy for Sensitive Groups,2020,9
2020-09-27,Shasta,Redding,7.7,0.076,68,Moderate,2020,9
2020-09-27,Napa,Napa,12.5,0.044,57,Moderate,2020,9
2020-09-30,San Diego,San Diego,8.0,0.082,81,Moderate,2020,9
2020-10-01,Santa Clara,Santa Clara,24.1,0.052,88,Moderate,2020,10
2020-10-01,Shasta,Redding,29.8,0.038,99,Moderate,2020,10
2020-10-01,Sonoma,Petaluma,21.1,0.043,63,Moderate,2020,10
2020-10-02,Marin,San Rafael,22.1,0.046,83,Moderate,2020,10
2020-10-02,Fresno,Clovis,39.9,0.032,154,Unhealthy,2020,10
2020-10-02,San Bernardino,San Bernardino,43.3,0.03,162,Unhealthy,2020,10
2020-10-03,San Bernardino,Ontario,53.6,0.044,156,Unhealthy,2020,10
2020-10-04,Shasta,Redding,53.3,0.047,112,Unhealthy for Sensitive Groups,2020,10
2020-10-05,Monterey,Salinas,12.0,0.042,74,Moderate,2020,10
2020-10-06,Los Angeles,Long Beach,13.2,0.036,110,Unhealthy for Sensitive Groups,2020,10
2020-10-07,Los Angeles,Los Angeles,41.5,0.048,160,Unhealthy,2020,10
2020-10-08,Napa,Napa,9.8,0.052,74,Moderate,2020,10
2020-10-08,Riverside,Palm Springs,15.7,0.028,79,Moderate,2020,10
2020-10-08,Sacramento,Sacramento,45.5,0.022,117,Unhealthy for Sensitive Groups,2020,10
2020-10-10,San Bernardino,San Bernardino,54.1,0.028,153,Unhealthy,2020,10
2020-10-10,Kern,Ridgecrest,45.7,0.043,148,Unhealthy for Sensitive Groups,2020,10
2020-10-11,Los Angeles,Long Beach,35.1,0.024,117,Unhealthy for Sensitive Groups,2020,10
2020-10-12,Sacramento,Elk Grove,19.6,0.04,75,Moderate,2020,10
2020-10-12,Monterey,Salinas,37.8,0.028,95,Moderate,2020,10
2020-10-12,Sonoma,Petaluma,47.3,0.041,109,Unhealthy for Sensitive Groups,2020,10
2020-10-13,Riverside,Riverside,9.7,0.021,81,Moderate,2020,10
2020-10-14,San Diego,Chula Vista,27.8,0.03,86,Moderate,2020,10
2020-10-15,Riverside,Riverside,43.4,0.028,120,Unhealthy for Sensitive Groups,2020,10
2020-10-16,Los Angeles,Pasadena,52.1,0.024,154,Unhealthy,2020,10
2020-10-17,Los Angeles,Los Angeles,22.1,0.049,106,Unhealthy for Sensitive Groups,2020,10
2020-10-17,Sacramento,Sacramento,11.3,0.034,65,Moderate,2020,10
2020-10-20,Fresno,Clovis,44.2,0.023,164,Unhealthy,2020,10
2020-10-22,Fresno,Clovis,47.3,0.039,161,Unhealthy,2020,10
2020-10-25,Fresno,Clovis,11.0,0.035,107,Unhealthy for Sensitive Groups,2020,10
2020-10-25,Los Angeles,Long Beach,44.2,0.045,164,Unhealthy,2020,10
2020-10-26,Kern,Bakersfield,23.0,0.051,107,Unhealthy for Sensitive Groups,2020,10
2020-10-26,Napa,Napa,48.8,0.028,103,Unhealthy for Sensitive Groups,2020,10
2020-10-28,San Bernardino,Ontario,44.1,0.024,147,Unhealthy for Sensitive Groups,2020,10
2020-10-28,Kern,Bakersfield,30.1,0.041,128,Unhealthy for Sensitive Groups,2020,10
2020-10-28,Monterey,Salinas,36.3,0.025,86,Moderate,2020,10
2020-10-29,Monterey,Salinas,46.6,0.028,135,Unhealthy for Sensitive Groups,2020,10
2020-10-29,Los Angeles,Los Angeles,35.6,0.052,125,Unhealthy for Sensitive Groups,2020,10
2020-10-29,Alameda,Berkeley,19.3,0.046,77,Moderate,2020,10
2020-10-30,Los Angeles,Pasadena,52.3,0.03,151,Unhealthy,2020,10
2020-11-01,Marin,Mill Valley,52.6,0.047,112,Unhealthy for Sensitive Groups,2020,11
2020-11-04,Sonoma,Santa Rosa,8.3,0.034,56,Moderate,2020,11
2020-11-04,San Diego,San Diego,8.7,0.028,69,Moderate,2020,11
2020-11-07,Shasta,Redding,44.6,0.024,107,Unhealthy for Sensitive Groups,2020,11
